Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	Col0	xrn4	delta_prop	diff	Change	Degradation_Tag
AT1G01080.1	-0.749987626712774	0.0885457452044159	-8.47005832952627	0	xrn4 - Col0	0	Seedling	0.0270433320253787	0.0128708119567391	0.0141725200686396	significant	decrease	3'_truncated
AT1G01260.3	-0.395022022750186	0.110415825442385	-3.57758519820428	0.000346783202342049	xrn4 - Col0	0.0158233893449706	Seedling	0.252272692929568	0.186353625665637	0.065919067263931	significant	decrease	3'_truncated
AT1G02475.1	-0.822931568261988	0.179799478466699	-4.57694079693565	4.71824916914443e-06	xrn4 - Col0	0.00043059385315226	Seedling	0.149234954631945	0.0724414027554124	0.0767935518765324	significant	decrease	3'_truncated
AT1G03350.1	0.58101549797895	0.160218370839761	3.62639749070999	0.000287402836932849	xrn4 - Col0	0.0133444637088351	Seedling	0.0409942209238139	0.071301478590113	0.0303072576662991	significant	increase	3'_truncated
AT1G03760.1	-0.669272241503431	0.187998912611586	-3.55997932225372	0.000370883996497318	xrn4 - Col0	0.0167335358194941	Seedling	0.148439350864724	0.079788238977415	0.068651111887309	significant	decrease	3'_truncated
AT1G04410.1	0.231505602386036	0.0669169819375412	3.45959419691279	0.000540990017953824	xrn4 - Col0	0.0226285980947248	Seedling	0.0290573934892473	0.0360453382202565	0.00698794473100923	significant	increase	3'_truncated
AT1G10510.1	0.661182833578905	0.169456499018591	3.90178504458756	9.54859336144143e-05	xrn4 - Col0	0.0055568661801258	Seedling	0.0642147982650306	0.116943413801362	0.0527286155363319	significant	increase	3'_truncated
AT1G11400.2	-0.486371386763477	0.119435820308563	-4.07224051801993	4.65630603772027e-05	xrn4 - Col0	0.00306514703187963	Seedling	0.0286714055759827	0.0177014690300332	0.0109699365459496	significant	decrease	3'_truncated
AT1G12080.1	-0.5838829090264	0.0838838499159811	-6.96061172217563	3.38795658194613e-12	xrn4 - Col0	1.70054245685058e-09	Seedling	0.0170618427808337	0.0091797242670183	0.00788211851381541	significant	decrease	3'_truncated
AT1G12390.1	-1.4837683775506	0.398957385883732	-3.71911494823914	0.000199922061685731	xrn4 - Col0	0.0100979501723151	Seedling	0.0633003631498471	0.015571809090888	0.0477285540589591	significant	decrease	3'_truncated
AT1G14120.1	0.694080221176521	0.146199517183969	4.74748641134793	2.05960222676715e-06	xrn4 - Col0	0.000223522506529284	Seedling	0.0756607748009435	0.146257282032292	0.0705965072313484	significant	increase	3'_truncated
AT1G15280.2	-1.05297952781295	0.261765297961224	-4.02260932222168	5.75569241099139e-05	xrn4 - Col0	0.00363968234273007	Seedling	0.364989934698287	0.166968599033816	0.19802133566447	significant	decrease	3'_truncated
AT1G16670.1	0.50255613700506	0.097064021375571	5.17757383099258	2.24789995950658e-07	xrn4 - Col0	3.68426215812191e-05	Seedling	0.0663619269921546	0.104333548460575	0.0379716214684202	significant	increase	3'_truncated
AT1G17880.1	-0.576397689806173	0.120986247194386	-4.76415876326909	1.89643149295371e-06	xrn4 - Col0	0.00020863344273851	Seedling	0.0383567784943462	0.0222130399475604	0.0161437385467857	significant	decrease	3'_truncated
AT1G18720.2	-0.978871818511197	0.244696797086557	-4.00034585726489	6.32499753605575e-05	xrn4 - Col0	0.00384818600091392	Seedling	0.251392972198824	0.110906500906501	0.140486471292323	significant	decrease	3'_truncated
AT1G19050.1	-0.503143873998018	0.0973000038209224	-5.17105708365684	2.32773440522749e-07	xrn4 - Col0	3.73880700167639e-05	Seedling	0.125971019749691	0.0796877559887953	0.0462832637608954	significant	decrease	3'_truncated
AT1G21080.3	-0.383579995132007	0.0822681169970659	-4.66255955688991	3.12300666216458e-06	xrn4 - Col0	0.000309640327207948	Seedling	0.1499360493108	0.108638704311571	0.0412973449992288	significant	decrease	3'_truncated
AT1G21730.1	-0.852333443419952	0.196061981105026	-4.3472652811938	1.37845458887398e-05	xrn4 - Col0	0.00107479308769388	Seedling	0.152832244008715	0.0738107869142352	0.0790214570944794	significant	decrease	3'_truncated
AT1G22740.1	-0.450983432025235	0.0760485147498974	-5.93020696733388	3.02553071485079e-09	xrn4 - Col0	8.09934572365556e-07	Seedling	0.140703936927251	0.0936623858807691	0.0470415510464823	significant	decrease	3'_truncated
AT1G25230.2	-0.340971040305712	0.103442362758061	-3.29624180282117	0.000979876382223077	xrn4 - Col0	0.0355707724660887	Seedling	0.0838914344767249	0.0608024391307401	0.0230889953459848	significant	decrease	3'_truncated
AT1G26570.1	-0.415345143118265	0.118166102484456	-3.51492631461635	0.000439876020523977	xrn4 - Col0	0.0193040673269293	Seedling	0.0880540974044911	0.0627760831986184	0.0252780142058727	significant	decrease	3'_truncated
AT1G26640.1	0.709028901798814	0.198268042995064	3.57611287773928	0.000348741117427442	xrn4 - Col0	0.0158233893449706	Seedling	0.0741139846743295	0.144791666666667	0.0706776819923372	significant	increase	3'_truncated
AT1G26690.1	-1.05399341965275	0.231415750935853	-4.55454486304569	5.24991201933389e-06	xrn4 - Col0	0.000468467149191894	Seedling	0.0829061706995865	0.0324225760786148	0.0504835946209716	significant	decrease	3'_truncated
AT1G28410.1	0.872493005726083	0.237916900681228	3.66721743275855	0.000245204280203248	xrn4 - Col0	0.0117918297863011	Seedling	0.0518171593543325	0.119950156602158	0.0681329972478252	significant	increase	3'_truncated
AT1G29250.1	-0.51548588360435	0.145265533121233	-3.54857668249594	0.000387319203028813	xrn4 - Col0	0.0172279455716705	Seedling	0.0255343751943005	0.0154223719532923	0.0101120032410082	significant	decrease	3'_truncated
AT1G30910.1	0.669738229928432	0.165168714318265	4.05487342256541	5.01614578181098e-05	xrn4 - Col0	0.00327517616046536	Seedling	0.0387681252169104	0.0713445817198353	0.0325764565029249	significant	increase	3'_truncated
AT1G33050.1	-0.397029491370468	0.115457263615866	-3.43875715512721	0.000584391208969359	xrn4 - Col0	0.023961870435012	Seedling	0.205193307311329	0.151713460829561	0.0534798464817672	significant	decrease	3'_truncated
AT1G33800.1	-0.822982125402315	0.249746647958253	-3.29526795306531	0.000983278730851911	xrn4 - Col0	0.0355707724660887	Seedling	0.0372053872053872	0.0172370254266806	0.0199683617787066	significant	decrease	3'_truncated
AT1G35515.1	1.5120313539372	0.348783930409944	4.33515200129786	1.45659437451595e-05	xrn4 - Col0	0.00111408661159406	Seedling	0.00833129317225041	0.0342287905261114	0.025897497353861	significant	increase	3'_truncated
AT1G44350.1	-1.25132500948022	0.161580044044898	-7.74430417367954	9.54791801177635e-15	xrn4 - Col0	7.66793295525758e-12	Seedling	0.413147294485738	0.170114607614608	0.24303268687113	significant	decrease	3'_truncated
AT1G44760.1	-0.50558683964355	0.0940832267794291	-5.37382546230966	7.70834760466244e-08	xrn4 - Col0	1.39455140086694e-05	Seedling	0.074940850443724	0.0469990007179308	0.0279418497257932	significant	decrease	3'_truncated
AT1G45010.1	-0.868511119218148	0.273640506055797	-3.1739128528035	0.00150398840209864	xrn4 - Col0	0.0469859317502023	Seedling	0.152278727582987	0.0638799571275456	0.0883987704554417	significant	decrease	3'_truncated
AT1G47830.1	0.508119222873699	0.10169899318681	4.99630534139449	5.84391060653999e-07	xrn4 - Col0	8.38079394305762e-05	Seedling	0.0200618697674355	0.0336571901243015	0.013595320356866	significant	increase	3'_truncated
AT1G52400.1	-0.242466225510144	0.0757208162170483	-3.20210792254447	0.00136425875919755	xrn4 - Col0	0.045027222168975	Seedling	0.0933671119817456	0.0749285046524228	0.0184386073293228	significant	decrease	3'_truncated
AT1G53320.1	-0.918238998854493	0.152128396872137	-6.03594738217262	1.58032742447745e-09	xrn4 - Col0	4.53271769499227e-07	Seedling	0.021909415826842	0.008987553923477	0.012921861903365	significant	decrease	3'_truncated
AT1G53870.2	0.448986971917659	0.140428349731042	3.19726730946843	0.00138736294735931	xrn4 - Col0	0.04510895477831	Seedling	0.160105483180096	0.226633615426719	0.0665281322466232	significant	increase	3'_truncated
AT1G55500.2	-0.81466986187878	0.147437629775457	-5.52552196558978	3.28507472335815e-08	xrn4 - Col0	6.59560877582233e-06	Seedling	0.154262723188232	0.0769819892049025	0.0772807339833291	significant	decrease	3'_truncated
AT1G58100.1	-0.510646392220759	0.113397009833021	-4.50317334621693	6.69462340607829e-06	xrn4 - Col0	0.000584396962763204	Seedling	0.0619382659019562	0.0374787578819059	0.0244595080200503	significant	decrease	3'_truncated
AT1G58270.1	-0.655926468073331	0.163399876583719	-4.01424090266838	5.96374131418553e-05	xrn4 - Col0	0.00371277569722667	Seedling	0.137843997248022	0.0767859165527655	0.0610580806952565	significant	decrease	3'_truncated
AT1G62085.1	-1.01262184081259	0.163326031635339	-6.20000272261245	5.64621904786122e-10	xrn4 - Col0	1.81379140693494e-07	Seedling	0.153472222222222	0.0631511592893707	0.0903210629328515	significant	decrease	3'_truncated
AT1G62480.1	-0.311763165692831	0.0855961857502318	-3.6422553523886	0.000270259785053906	xrn4 - Col0	0.0127673901986348	Seedling	0.0095769319119066	0.00709490302895902	0.00248202888294758	significant	decrease	3'_truncated
