Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT1G01120.1	-0.804358092742474	0.179393675446073	-4.48375947893587	7.3339324542232e-06	xrn4_dne1 - xrn4	0.000882677370510258	Seedling	0.0627513746685648	0.0289534596874077	0.0337979149811571	significant	decrease	3'_truncated
AT1G01350.1	0.26402999798424	0.0755751330177549	3.49360943793789	0.000476537621024731	xrn4_dne1 - xrn4	0.0269921520225278	Seedling	0.0959239142479129	0.119840510366826	0.0239165961189132	significant	increase	3'_truncated
AT1G03910.1	0.477813298247114	0.128371939507252	3.72210079618	0.000197572118852518	xrn4_dne1 - xrn4	0.0140092416367751	Seedling	0.397607262663864	0.50968239284613	0.112075130182266	significant	increase	3'_truncated
AT1G04410.1	-0.469302584825619	0.0865696860691514	-5.42109606878721	5.92347144667826e-08	xrn4_dne1 - xrn4	1.74780623621826e-05	Seedling	0.0360453382202565	0.0232205081256177	0.0128248300946388	significant	decrease	3'_truncated
AT1G05500.1	0.306560599599102	0.0552905484403227	5.54453895370536	2.94729718408604e-08	xrn4_dne1 - xrn4	9.9847879047537e-06	Seedling	0.0781130542221488	0.103484724914885	0.0253716706927357	significant	increase	3'_truncated
AT1G06900.1	-0.945534015874375	0.237734824328822	-3.97726340069793	6.9712930069965e-05	xrn4_dne1 - xrn4	0.00657385743659763	Seedling	0.148752186252186	0.0612419773146787	0.0875102089375076	significant	decrease	3'_truncated
AT1G09280.1	0.264580083732757	0.0724635027617553	3.65121852586453	0.000260999041987509	xrn4_dne1 - xrn4	0.0166948128465716	Seedling	0.184496684026985	0.223756743707622	0.0392600596806376	significant	increase	3'_truncated
AT1G10130.1	-0.546322977132963	0.161177285938722	-3.38957796659183	0.000700002998823779	xrn4_dne1 - xrn4	0.0361924732147253	Seedling	0.342458347125676	0.226791858847646	0.11566648827803	significant	decrease	3'_truncated
AT1G11303.1	1.11628516242687	0.176217041939192	6.33471740384835	2.37776687228575e-10	xrn4_dne1 - xrn4	1.44996223871985e-07	Seedling	0.182539682539683	0.413324767904509	0.230785085364827	significant	increase	3'_truncated
AT1G14170.1	-0.355461982385706	0.0830633905803837	-4.27940612467188	1.87392654555918e-05	xrn4_dne1 - xrn4	0.00201656542496821	Seedling	0.131652424792425	0.0965591138349562	0.0350933109574688	significant	decrease	3'_truncated
AT1G15100.1	-1.0516968681942	0.31028599784691	-3.38944353110348	0.00070034631671656	xrn4_dne1 - xrn4	0.0361924732147253	Seedling	0.0307172623389642	0.0111828201946566	0.0195344421443076	significant	decrease	3'_truncated
AT1G17730.1	-1.10897094702904	0.223147000353704	-4.96968789753499	6.70607570363302e-07	xrn4_dne1 - xrn4	0.000113593471224317	Seedling	0.0416436183943652	0.0140185953887889	0.0276250230055762	significant	decrease	3'_truncated
AT1G17860.1	0.506475458065056	0.154897709889024	3.26974142114767	0.00107645836310244	xrn4_dne1 - xrn4	0.0492318232364901	Seedling	0.0305427518562322	0.0505447999338838	0.0200020480776516	significant	increase	3'_truncated
AT1G18640.2	-0.329554777049886	0.100140127576178	-3.29093626128235	0.000998545355596736	xrn4_dne1 - xrn4	0.0466004814675681	Seedling	0.037381231283307	0.027583755442993	0.00979747584031406	significant	decrease	3'_truncated
AT1G20770.2	-0.84461835372949	0.21872614492158	-3.8615335813298	0.000112677521021398	xrn4_dne1 - xrn4	0.00939072529584417	Seedling	0.0307150852974034	0.0141574882518597	0.0165575970455437	significant	decrease	3'_truncated
AT1G20980.1	0.548324078729517	0.162348737664718	3.37744590205508	0.00073162342803923	xrn4_dne1 - xrn4	0.0371786638681935	Seedling	0.159531976750335	0.250841254953435	0.0913092782031002	significant	increase	3'_truncated
AT1G22750.1	0.800230790911298	0.18548618989584	4.31423380554998	1.60157380628689e-05	xrn4_dne1 - xrn4	0.00179669444418048	Seedling	0.0169926087965265	0.0364183433164108	0.0194257345198844	significant	increase	3'_truncated
AT1G26620.1	-0.208942542875373	0.0627375137382211	-3.33042434144279	0.000867137252539063	xrn4_dne1 - xrn4	0.0424155318126995	Seedling	0.200918152194748	0.167938568029418	0.0329795841653298	significant	decrease	3'_truncated
AT1G26840.1	0.34085104590647	0.0858426816294968	3.97064769455372	7.16775053819507e-05	xrn4_dne1 - xrn4	0.00669014430335411	Seedling	0.163727973848325	0.216491864256142	0.052763890407817	significant	increase	3'_truncated
AT1G28240.1	0.502590409026237	0.110800591478578	4.53599030762763	5.73338131837353e-06	xrn4_dne1 - xrn4	0.000728608725311691	Seedling	0.308589749066177	0.420813872198726	0.112224123132549	significant	increase	3'_truncated
AT1G33470.1	-0.367878154363019	0.0722377733434262	-5.09260096672811	3.53184520074379e-07	xrn4_dne1 - xrn4	7.02299740243553e-05	Seedling	0.13849943160288	0.0999686373908549	0.038530794212025	significant	decrease	3'_truncated
AT1G47400.1	-1.06089323252879	0.247716882898152	-4.28268441019005	1.84651982777506e-05	xrn4_dne1 - xrn4	0.00201072819817363	Seedling	0.00360309329640152	0.00126993467929142	0.0023331586171101	significant	decrease	3'_truncated
AT1G48050.1	-0.640539870970921	0.0705021469756731	-9.08539524607585	0	xrn4_dne1 - xrn4	0	Seedling	0.257101232101232	0.155131847319347	0.101969384781885	significant	decrease	3'_truncated
AT1G49510.1	1.12972948678362	0.207611103739505	5.44156582396056	5.2814270734558e-08	xrn4_dne1 - xrn4	1.61030711469667e-05	Seedling	0.0149792398775477	0.0441338730482438	0.0291546331706961	significant	increase	3'_truncated
AT1G50570.1	-0.69584293783682	0.130723974127883	-5.32299406041696	1.02073079322196e-07	xrn4_dne1 - xrn4	2.52341204475709e-05	Seedling	0.105608889514169	0.0575197184136813	0.0480891711004881	significant	decrease	3'_truncated
AT1G51805.1	0.257113788513055	0.0649202786134872	3.96045417555616	7.48073479208688e-05	xrn4_dne1 - xrn4	0.00684262811432187	Seedling	0.296330791477815	0.35332048486843	0.0569896933906152	significant	increase	3'_truncated
AT1G52600.1	-0.996505321579596	0.274402809117652	-3.63154198305724	0.000281732812847046	xrn4_dne1 - xrn4	0.0176507536925475	Seedling	0.036083588532297	0.0143864496499129	0.0216971388823841	significant	decrease	3'_truncated
AT1G53390.1	-1.41066083671744	0.344565918018776	-4.09402312575956	4.23951998571592e-05	xrn4_dne1 - xrn4	0.00416977304401544	Seedling	0.173541263700838	0.0512499196709723	0.122291344029866	significant	decrease	3'_truncated
AT1G56420.1	0.64685235136713	0.169807980024006	3.8093165661336	0.000139351446428071	xrn4_dne1 - xrn4	0.010802098987098	Seedling	0.0613837582606455	0.111869277172741	0.0504855189120954	significant	increase	3'_truncated
AT1G56500.2	-0.0785383077922819	0.0197980183780316	-3.96697822441816	7.27896400836148e-05	xrn4_dne1 - xrn4	0.00672532159439216	Seedling	0.645133395066847	0.626009588024444	0.0191238070424031	significant	decrease	3'_truncated
AT1G62020.1	0.174949100166733	0.0348033111458334	5.02679470449404	4.98745780008747e-07	xrn4_dne1 - xrn4	8.94515225439217e-05	Seedling	0.114994573327907	0.133732882369172	0.0187383090412651	significant	increase	3'_truncated
AT1G66150.1	-0.875204940382924	0.18344692282239	-4.77088918646122	1.83414430110496e-06	xrn4_dne1 - xrn4	0.000270595450358178	Seedling	0.0519506749402054	0.0215186811042825	0.0304319938359229	significant	decrease	3'_truncated
AT1G66180.1	-1.20844826263134	0.355603442516292	-3.3983030481376	0.000678052650204819	xrn4_dne1 - xrn4	0.0354408433795627	Seedling	0.113585303986029	0.0376764375584203	0.0759088664276092	significant	decrease	3'_truncated
AT1G69330.1	-0.999091576327441	0.284899554774623	-3.50682041998204	0.000453495084351552	xrn4_dne1 - xrn4	0.0260888021167525	Seedling	0.104106800766284	0.0393136336745409	0.0647931670917427	significant	decrease	3'_truncated
