Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT1G04910.1	-1.37587922271854	0.31592775941463	-4.35504377731115	1.33040327543466e-05	xrn4_dne1 - xrn4	0.00175654807459732	Seedling	0.0375756141416306	0.0101257823655428	0.0274498317760879	significant	decrease	Both_truncated
AT1G05140.1	0.877649188563504	0.167099317580728	5.25226075887175	1.50243550711693e-07	xrn4_dne1 - xrn4	4.88291539813002e-05	Seedling	0.0147508982523776	0.0347499156762774	0.0199990174238998	significant	increase	Both_truncated
AT1G08030.1	-1.05532302726615	0.292369370267458	-3.60955399090112	0.000306723930240782	xrn4_dne1 - xrn4	0.0249213193320635	Seedling	0.0557183642344339	0.018555489188694	0.0371628750457399	significant	decrease	Both_truncated
AT1G11170.1	-0.55437838555016	0.136292542206362	-4.06756214665635	4.75075408592485e-05	xrn4_dne1 - xrn4	0.00557553778139791	Seedling	0.0742371047167849	0.0447984749455338	0.0294386297712512	significant	decrease	Both_truncated
AT1G12860.1	-0.888088480535245	0.256299571081691	-3.46504083790363	0.000530150968548693	xrn4_dne1 - xrn4	0.0386187558985901	Seedling	0.0359943977591036	0.0147271327044508	0.0212672650546529	significant	decrease	Both_truncated
AT1G15740.1	-0.785856251329345	0.213770845431875	-3.67616196559313	0.000236769232273337	xrn4_dne1 - xrn4	0.020007000127097	Seedling	0.0825970632155301	0.0366524048987199	0.0459446583168102	significant	decrease	Both_truncated
AT1G17820.1	1.21129253560498	0.274730086167201	4.40902761144183	1.0383578741946e-05	xrn4_dne1 - xrn4	0.00151278000636971	Seedling	0.0259110361434293	0.0773393415337149	0.0514283053902856	significant	increase	Both_truncated
AT1G25540.1	-0.58874906500295	0.165279331437861	-3.56214573159923	0.000367836092416196	xrn4_dne1 - xrn4	0.0287797683418228	Seedling	0.0979447080709503	0.0555477855477855	0.0423969225231648	significant	decrease	Both_truncated
AT1G28610.1	1.36128092081448	0.390844058776733	3.4829259656013	0.00049596550132569	xrn4_dne1 - xrn4	0.0374188257696615	Seedling	0.00548835125448029	0.0228055682299622	0.0173172169754819	significant	increase	Both_truncated
AT1G49180.1	0.779410083498296	0.231044044077988	3.37342642442325	0.000742388838172126	xrn4_dne1 - xrn4	0.0463810700029433	Seedling	0.0326630208762141	0.0644813656033852	0.0318183447271711	significant	increase	Both_truncated
AT1G55690.4	0.723491450012059	0.156106059511949	4.63461477583887	3.57602781120292e-06	xrn4_dne1 - xrn4	0.000629529895930514	Seedling	0.0377659759669578	0.0720540027605245	0.0342880267935667	significant	increase	Both_truncated
AT1G56280.1	1.307580026303	0.378505339053128	3.45458806360314	0.00055113419289432	xrn4_dne1 - xrn4	0.0388090327496417	Seedling	0.000189940945465494	0.000711379288647947	0.000521438343182453	significant	increase	Both_truncated
AT1G58230.2	-0.626774143279924	0.169483541301507	-3.69814165119968	0.000217183686074041	xrn4_dne1 - xrn4	0.0187265525237311	Seedling	0.29055901963578	0.178409006985777	0.112150012650004	significant	decrease	Both_truncated
AT1G59520.1	-0.916684857095157	0.16699012803173	-5.4894553821827	4.03174942320561e-08	xrn4_dne1 - xrn4	1.63734949845925e-05	Seedling	0.0445208398615277	0.018562485638166	0.0259583542233617	significant	decrease	Both_truncated
AT1G63420.1	0.451833079494908	0.0613655718129799	7.36297350690274	1.79856129989275e-13	xrn4_dne1 - xrn4	1.89973037301172e-10	Seedling	0.0788391994852944	0.118144971759249	0.0393057722739542	significant	increase	Both_truncated
AT1G65440.1	0.580185861226846	0.172064453578683	3.37191005556261	0.000746488227266306	xrn4_dne1 - xrn4	0.0463810700029433	Seedling	0.273141751865156	0.396102489631663	0.122960737766506	significant	increase	Both_truncated
AT1G73655.1	0.511914568469491	0.1494910992632	3.42438159189796	0.000616200305208148	xrn4_dne1 - xrn4	0.0419910691855552	Seedling	0.00246165504210564	0.00402120087421527	0.00155954583210963	significant	increase	Both_truncated
AT2G05070.1	-1.05589542630025	0.310270289409178	-3.40314706996567	0.000666144130044621	xrn4_dne1 - xrn4	0.043975921084977	Seedling	0.00601872432513628	0.00242054465058884	0.00359817967454744	significant	decrease	Both_truncated
AT2G05185.1	0.818738680770449	0.209498029044235	3.90809729573912	9.30258454647781e-05	xrn4_dne1 - xrn4	0.010077799925351	Seedling	0.054681495546815	0.115168165168165	0.0604866696213502	significant	increase	Both_truncated
