Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	Col0	xrn4	delta_prop	diff	Change	Degradation_Tag
AT1G08930.1	1.7042491945814	0.442703333903736	3.84964165404723	0.000118290757566752	xrn4 - Col0	0.0202316625691669	Seedling	0.235459174444686	0.505272626801146	0.269813452356461	significant	increase	Intact
AT1G15270.1	0.533205107765763	0.0684058817015062	7.79472604552398	6.43929354282591e-15	xrn4 - Col0	1.65200075841199e-11	Seedling	0.925873592004031	0.956031825800347	0.0301582337963159	significant	increase	Intact
AT1G18720.2	0.796101995891711	0.146312321583237	5.44111382607518	5.2948467610392e-08	xrn4 - Col0	2.71678587308921e-05	Seedling	0.618221366133116	0.786534576534577	0.16831321040146	significant	increase	Intact
AT1G22590.1	0.322383461049843	0.0849320355186641	3.7957816397677	0.000147179002225384	xrn4 - Col0	0.022884104861165	Seedling	0.748634338693405	0.807913996972037	0.0592796582786312	significant	increase	Intact
AT1G23750.1	-0.399123423069203	0.103989390961332	-3.83811674805957	0.000123981535382178	xrn4 - Col0	0.0205209438079341	Seedling	0.947571127988939	0.923622355880988	0.023948772107951	significant	decrease	Intact
AT1G34350.2	0.599024943149159	0.136003030898414	4.40449701151582	1.06029602562341e-05	xrn4 - Col0	0.00320022288674924	Seedling	0.843780135853307	0.904717985057908	0.0609378492046013	significant	increase	Intact
AT1G77540.1	0.218224054118491	0.0528662050622237	4.12785547707916	3.66162118126123e-05	xrn4 - Col0	0.00853989921865972	Seedling	0.676982835716667	0.72233797437736	0.0453551386606926	significant	increase	Intact
AT1G78630.1	0.59766294802955	0.15224855257827	3.92557392440426	8.65231920030851e-05	xrn4 - Col0	0.0158553749345653	Seedling	0.844718587524225	0.901798354827941	0.0570797673037162	significant	increase	Intact
AT2G24940.1	0.88417457718813	0.199805123079521	4.42518471779242	9.63597948633321e-06	xrn4 - Col0	0.00309013817152348	Seedling	0.920235662784807	0.965999303904368	0.0457636411195618	significant	increase	Intact
AT2G25610.1	0.808960195548104	0.22231675488605	3.63877295691341	0.000273940175605336	xrn4 - Col0	0.0351396760257745	Seedling	0.753221766522309	0.867197434117375	0.113975667595066	significant	increase	Intact
AT2G44140.1	0.696601130963712	0.196616489317999	3.54294359226941	0.000395687328724081	xrn4 - Col0	0.0472156205507735	Seedling	0.0403685788199694	0.0794938595323178	0.0391252807123483	significant	increase	Intact
AT2G46580.1	0.383438993926956	0.0447763295156502	8.56343068033159	0	xrn4 - Col0	0	Seedling	0.803611715413746	0.857283781861432	0.0536720664476857	significant	increase	Intact
AT3G12930.1	0.825135569062945	0.150942241217261	5.46656497484539	4.58840283545925e-08	xrn4 - Col0	2.61589943874904e-05	Seedling	0.616791108893878	0.776674957998605	0.159883849104727	significant	increase	Intact
AT3G17210.1	0.630382023808452	0.0980462973043501	6.42943222885464	1.28081545369696e-10	xrn4 - Col0	1.31437281858382e-07	Seedling	0.935665039234809	0.963997612462557	0.0283325732277475	significant	increase	Intact
AT3G43540.1	0.20640438117248	0.049601765119729	4.16123056657882	3.16537300908415e-05	xrn4 - Col0	0.00773406138552894	Seedling	0.625352084232549	0.673028490319695	0.0476764060871464	significant	increase	Intact
AT3G43980.1	0.72893448509605	0.169349330226256	4.30432458234214	1.67495945322393e-05	xrn4 - Col0	0.00477456497471778	Seedling	0.949142639824795	0.975491104467871	0.0263484646430755	significant	increase	Intact
AT3G53850.1	0.922149933483963	0.187888496488255	4.90796376957335	9.2026849163318e-07	xrn4 - Col0	0.000393491469214154	Seedling	0.869213656199196	0.945708105636026	0.0764944494368308	significant	increase	Intact
AT3G57080.1	0.515674829532548	0.122389140738457	4.21340346391136	2.51551128900296e-05	xrn4 - Col0	0.00645354421193709	Seedling	0.742540221527701	0.825604650833414	0.0830644293057133	significant	increase	Intact
AT3G62400.2	0.285794142480078	0.0606508666825086	4.71211967961044	2.45153324507363e-06	xrn4 - Col0	0.000898486934319487	Seedling	0.848199419518944	0.884620378556085	0.0364209590371415	significant	increase	Intact
AT3G62450.1	0.991500752686946	0.235042241350547	4.21839388098841	2.46048724801273e-05	xrn4 - Col0	0.00645354421193709	Seedling	0.947408484350065	0.981950581932513	0.0345420975824476	significant	increase	Intact
AT4G00860.1	1.19290049597674	0.320741656399553	3.71919416195421	0.000199859380703771	xrn4 - Col0	0.0272113112199532	Seedling	0.78001525553013	0.92083587394567	0.14082061841554	significant	increase	Intact
AT4G01710.1	0.428778699657369	0.119325626862145	3.59334965114182	0.000326454049633718	xrn4 - Col0	0.0398818030635858	Seedling	0.931500036028026	0.953720908658966	0.02222087263094	significant	increase	Intact
