Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	Col0	xrn4	delta_prop	diff	Change	Degradation_Tag
AT1G03760.1	0.85930904658454	0.198304610283482	4.33327820949867	1.46905271729558e-05	xrn4 - Col0	0.00316973746769033	Seedling	0.557297836215747	0.751596053954682	0.194298217738935	significant	increase	Intact
AT1G08930.1	1.7042491945814	0.442703333903736	3.84964165404723	0.000118290757566752	xrn4 - Col0	0.0152430784542268	Seedling	0.235459174444686	0.505272626801146	0.269813452356461	significant	increase	Intact
AT1G14290.1	1.30828355294487	0.214379713355526	6.1026462460803	1.04326569605462e-09	xrn4 - Col0	6.45294608532983e-07	Seedling	0.43961218520042	0.751965156583421	0.312352971383	significant	increase	Intact
AT1G15270.1	0.533205107765763	0.0684058817015062	7.79472604552398	6.43929354282591e-15	xrn4 - Col0	9.9572942483898e-12	Seedling	0.925873592004031	0.956031825800347	0.0301582337963159	significant	increase	Intact
AT1G18720.2	0.796101995891711	0.146312321583237	5.44111382607518	5.2948467610392e-08	xrn4 - Col0	2.30075088465196e-05	Seedling	0.618221366133116	0.786534576534577	0.16831321040146	significant	increase	Intact
AT1G22590.1	0.322383461049843	0.0849320355186641	3.7957816397677	0.000147179002225384	xrn4 - Col0	0.0172851491474318	Seedling	0.748634338693405	0.807913996972037	0.0592796582786312	significant	increase	Intact
AT1G23750.1	-0.399123423069203	0.103989390961332	-3.83811674805957	0.000123981535382178	xrn4 - Col0	0.0157575436339158	Seedling	0.947571127988939	0.923622355880988	0.023948772107951	significant	decrease	Intact
AT1G26840.1	-0.314363731601698	0.0701420317880165	-4.48181673082652	7.40102890395278e-06	xrn4 - Col0	0.00180701963607563	Seedling	0.772615847414235	0.717652288009721	0.0549635594045135	significant	decrease	Intact
AT1G27450.1	1.05818280778397	0.270837210056104	3.9070805948886	9.34180004223961e-05	xrn4 - Col0	0.0127460618811616	Seedling	0.00162075160822313	0.00444529755001885	0.00282454594179572	significant	increase	Intact
AT1G28580.1	0.904729909469917	0.175721294567933	5.14866403468335	2.62348298862847e-07	xrn4 - Col0	9.36179814172882e-05	Seedling	0.303726851851852	0.508486285620432	0.20475943376858	significant	increase	Intact
AT1G29330.1	0.765258043123898	0.169718233628732	4.508991324986	6.51365719472885e-06	xrn4 - Col0	0.00167871420701929	Seedling	0.669588122605364	0.803049254668278	0.133461132062914	significant	increase	Intact
AT1G32410.2	1.39675468317517	0.224277959796111	6.22778397148321	4.7307868733526e-10	xrn4 - Col0	3.37577290882811e-07	Seedling	0.756112078977933	0.922943349378246	0.166831270400313	significant	increase	Intact
AT1G34350.2	0.599024943149159	0.136003030898414	4.40449701151582	1.06029602562341e-05	xrn4 - Col0	0.00239937232334975	Seedling	0.843780135853307	0.904717985057908	0.0609378492046013	significant	increase	Intact
AT1G35350.1	0.884958561025953	0.2144002813929	4.12759981132776	3.66569337582057e-05	xrn4 - Col0	0.00629820428534504	Seedling	0.114453906903956	0.219561414092664	0.105107507188708	significant	increase	Intact
AT1G49170.1	0.581416424478922	0.120301843659626	4.83298016715307	1.34504191540152e-06	xrn4 - Col0	0.000415976629703178	Seedling	0.338509316770186	0.481233566816011	0.142724250045825	significant	increase	Intact
AT1G49950.1	0.718632050002452	0.130111919103062	5.52318384784735	3.32911060940688e-08	xrn4 - Col0	1.62565727547774e-05	Seedling	0.473577796158441	0.650951391008036	0.177373594849594	significant	increase	Intact
AT1G50940.1	0.563078798986558	0.125072298471633	4.50202647482542	6.7308594744464e-06	xrn4 - Col0	0.00168780849199767	Seedling	0.7045453978237	0.808960961826941	0.104415564003241	significant	increase	Intact
AT1G64185.1	-0.729657140965223	0.140851256268141	-5.18033818297057	2.21483989371052e-07	xrn4 - Col0	8.21971381353848e-05	Seedling	0.890404896421846	0.802360248447205	0.0880446479746406	significant	decrease	Intact
AT1G64360.1	2.45828581631165	0.691446225171771	3.55528127397175	0.000377574941637482	xrn4 - Col0	0.0364910448803391	Seedling	0.933101582791625	0.994617643307497	0.061516060515872	significant	increase	Intact
AT1G66080.1	0.891394016823637	0.243088637560048	3.66695056490842	0.000245460225830385	xrn4 - Col0	0.0258793179006172	Seedling	0.825331574014441	0.919999466182672	0.0946678921682312	significant	increase	Intact
AT1G68000.1	0.422713036537544	0.0985557871762104	4.28907371803306	1.79419819450466e-05	xrn4 - Col0	0.00369923796635872	Seedling	0.691909271972201	0.774268414156454	0.0823591421842531	significant	increase	Intact
AT1G69330.1	-0.965900366711423	0.249136028817797	-3.87699993170327	0.00010575238789623	xrn4 - Col0	0.014016723641446	Seedling	0.883869179600887	0.748503352490422	0.135365827110465	significant	decrease	Intact
AT1G77540.1	0.218224054118491	0.0528662050622237	4.12785547707916	3.66162118126123e-05	xrn4 - Col0	0.00629820428534504	Seedling	0.676982835716667	0.72233797437736	0.0453551386606926	significant	increase	Intact
AT1G78630.1	0.59766294802955	0.15224855257827	3.92557392440426	8.65231920030851e-05	xrn4 - Col0	0.0123501873139173	Seedling	0.844718587524225	0.901798354827941	0.0570797673037162	significant	increase	Intact
AT1G78650.1	0.777206250401327	0.183865598612032	4.2270346180488	2.36791248717783e-05	xrn4 - Col0	0.00475591680980461	Seedling	0.491248006379585	0.670905483405483	0.179657477025898	significant	increase	Intact
AT1G80950.2	0.435207268956738	0.0188704921671981	23.0628467504013	0	xrn4 - Col0	0	Seedling	0.0408418923124805	0.0620295124037639	0.0211876200912834	significant	increase	Intact
AT2G17710.1	0.7494738053662	0.213251933789234	3.51449945634227	0.000440583573656728	xrn4 - Col0	0.0417115754733379	Seedling	0.847043918918919	0.920093391249321	0.0730494723304019	significant	increase	Intact
AT2G24940.1	0.88417457718813	0.199805123079521	4.42518471779242	9.63597948633321e-06	xrn4 - Col0	0.00223506544185499	Seedling	0.920235662784807	0.965999303904368	0.0457636411195618	significant	increase	Intact
AT2G25610.1	0.808960195548104	0.22231675488605	3.63877295691341	0.000273940175605336	xrn4 - Col0	0.0282401883251812	Seedling	0.753221766522309	0.867197434117375	0.113975667595066	significant	increase	Intact
AT2G29170.1	1.14735260363138	0.165803566061288	6.91995130676061	4.51794157640961e-12	xrn4 - Col0	3.81067835872076e-09	Seedling	0.906236074714336	0.968509863150698	0.062273788436362	significant	increase	Intact
AT2G40780.1	0.81399895364956	0.137612189779958	5.91516605433823	3.3154092804466e-09	xrn4 - Col0	1.92252295649897e-06	Seedling	0.845398867414759	0.920893719806763	0.0754948523920048	significant	increase	Intact
AT2G43510.1	0.780334113799995	0.219163129811322	3.56051729354197	0.000370124933137816	xrn4 - Col0	0.0361475697858175	Seedling	0.969202880161332	0.985877484408696	0.0166746042473637	significant	increase	Intact
AT2G44140.1	0.696601130963712	0.196616489317999	3.54294359226941	0.000395687328724081	xrn4 - Col0	0.0378472890299178	Seedling	0.0403685788199694	0.0794938595323178	0.0391252807123483	significant	increase	Intact
AT2G46580.1	0.383438993926956	0.0447763295156502	8.56343068033159	0	xrn4 - Col0	0	Seedling	0.803611715413746	0.857283781861432	0.0536720664476857	significant	increase	Intact
AT2G47170.1	0.353960472898869	0.101777744362543	3.47777871395955	0.000505587123734053	xrn4 - Col0	0.047137078944448	Seedling	0.742366608804414	0.805665156509016	0.0632985477046024	significant	increase	Intact
AT3G01290.1	1.00130550781738	0.262020298281391	3.82148068063815	0.000132652807480982	xrn4 - Col0	0.0160610689120082	Seedling	0.594169499493708	0.760791672814057	0.16662217332035	significant	increase	Intact
