Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT1G01940.1	0.247204517670605	0.0487814933004412	5.06758815578056	4.02887930350815e-07	xrn4_dne1 - xrn4	0.000226713991473522	Seedling	0.836424623254993	0.868737123472577	0.0323125002175844	significant	increase	Intact
AT1G07020.1	-0.529544751473964	0.134608476212547	-3.93396290021002	8.35566860017956e-05	xrn4_dne1 - xrn4	0.0179984280110633	Seedling	0.948478908070554	0.913580227541853	0.0348986805287005	significant	decrease	Intact
AT1G07420.1	-0.464029349085594	0.109708470681033	-4.22965835003495	2.34046486102812e-05	xrn4_dne1 - xrn4	0.00677330530781539	Seedling	0.652059629230608	0.542853048473203	0.109206580757404	significant	decrease	Intact
AT1G17060.1	-0.555569860237756	0.0853783549594792	-6.50715114505814	7.65894014875812e-11	xrn4_dne1 - xrn4	1.55154809533542e-07	Seedling	0.709593988502329	0.58945675971538	0.120137228786949	significant	decrease	Intact
AT1G19360.1	0.404859637414956	0.0984938924841667	4.11050499887634	3.94794732956338e-05	xrn4_dne1 - xrn4	0.00952113297646369	Seedling	0.703439242125129	0.782457688478595	0.0790184463534664	significant	increase	Intact
AT1G28250.1	-0.329612328220201	0.0673412639798452	-4.89465609553827	9.847778574823e-07	xrn4_dne1 - xrn4	0.000498740745921911	Seedling	0.891967265445402	0.857059135300455	0.0349081301449469	significant	decrease	Intact
AT1G28540.1	-0.851054004647341	0.151645520263767	-5.612127566756	1.99854013338552e-08	xrn4_dne1 - xrn4	1.84029209191472e-05	Seedling	0.930556426168537	0.851955932795875	0.0786004933726616	significant	decrease	Intact
AT1G29250.1	-0.276025576006352	0.0566535710562807	-4.8721655291975	1.10381624818245e-06	xrn4_dne1 - xrn4	0.000532407370373337	Seedling	0.966304088618918	0.955593454494966	0.0107106341239512	significant	decrease	Intact
AT1G53120.1	-0.13246203900623	0.0274080536281565	-4.83296044306302	1.34517523608935e-06	xrn4_dne1 - xrn4	0.000619330907561318	Seedling	0.580892773887781	0.54820176266813	0.0326910112196513	significant	decrease	Intact
AT1G53910.1	-0.621624792296452	0.157206172984349	-3.95420091015343	7.6790863793974e-05	xrn4_dne1 - xrn4	0.0172847702082036	Seedling	0.662620343032208	0.509781920068105	0.152838422964103	significant	decrease	Intact
AT1G65000.1	-0.635929377240562	0.109641737961446	-5.80006655370768	6.62886057156697e-09	xrn4_dne1 - xrn4	8.39296609117524e-06	Seedling	0.876705142506103	0.791195057536314	0.0855100849697888	significant	decrease	Intact
AT1G66620.1	-0.612764232980197	0.13089748952287	-4.68125275139931	2.85127137433783e-06	xrn4_dne1 - xrn4	0.00120335532294449	Seedling	0.874632786975263	0.79588865781475	0.0787441291605133	significant	decrease	Intact
AT1G67830.1	0.250064826914588	0.0640968023661971	3.90136196632589	9.5652998671758e-05	xrn4_dne1 - xrn4	0.0193773844709247	Seedling	0.451388722796569	0.511985038843244	0.0605963160466748	significant	increase	Intact
AT1G68430.1	-0.648719215897277	0.126147889800217	-5.14252927198914	2.71064191315062e-07	xrn4_dne1 - xrn4	0.000171600574614392	Seedling	0.926985423799149	0.866639957264957	0.060345466534192	significant	decrease	Intact
AT1G75400.1	0.541147561479462	0.146368022116676	3.69717069106864	0.000218015758304047	xrn4_dne1 - xrn4	0.0414629768001685	Seedling	0.420994363929147	0.55419705631119	0.133202692382043	significant	increase	Intact
AT1G75420.1	0.39432424478446	0.0940087454035771	4.1945485294122	2.73415612130901e-05	xrn4_dne1 - xrn4	0.00710109419300998	Seedling	0.54015009380863	0.635386352777657	0.0952362589690269	significant	increase	Intact
AT2G02360.1	0.615176787621979	0.117996291319561	5.21352646547116	1.85284081855031e-07	xrn4_dne1 - xrn4	0.00012511616434064	Seedling	0.653757887828765	0.777250104231812	0.123492216403047	significant	increase	Intact
AT2G02500.1	-0.305029972224456	0.0596608937669593	-5.11272884070308	3.17537952598812e-07	xrn4_dne1 - xrn4	0.00018919658363961	Seedling	0.851717305653586	0.807676040507287	0.0440412651462991	significant	decrease	Intact
AT2G07718.1	1.09641245807913	0.279442583879478	3.92356971102157	8.72465044596815e-05	xrn4_dne1 - xrn4	0.0180350988504513	Seedling	0.0236950549450549	0.0693398766960029	0.045644821750948	significant	increase	Intact
AT2G17975.1	1.03918406060901	0.278002826496073	3.7380341549286	0.000185464755869003	xrn4_dne1 - xrn4	0.0361263944653294	Seedling	0.658578539013322	0.84312996031746	0.184551421304139	significant	increase	Intact
AT2G18240.1	-0.617384252551885	0.146936136849269	-4.20171828244821	2.6489665620355e-05	xrn4_dne1 - xrn4	0.00710109419300998	Seedling	0.867951569922373	0.779276094276094	0.0886754756462785	significant	decrease	Intact
AT2G24440.1	-0.674637963144502	0.151513499399992	-4.45265910837076	8.48133493058789e-06	xrn4_dne1 - xrn4	0.00280205098909296	Seedling	0.822498609884539	0.700612289743897	0.121886320140642	significant	decrease	Intact
AT2G28880.1	0.936624643705276	0.254320600499857	3.68285007924791	0.000230640812807881	xrn4_dne1 - xrn4	0.0424756507805641	Seedling	0.108701933254378	0.242293233082707	0.133591299828329	significant	increase	Intact
AT2G29170.1	-0.699107078954291	0.0489884890382255	-14.2708438794424	0	xrn4_dne1 - xrn4	0	Seedling	0.968509863150698	0.937440684419695	0.0310691787310027	significant	decrease	Intact
AT2G33560.1	-0.93697893772159	0.23538588262817	-3.98060804352358	6.87392125047204e-05	xrn4_dne1 - xrn4	0.0158240791695526	Seedling	0.737597713441805	0.526424574739037	0.211173138702768	significant	decrease	Intact
AT2G39725.2	-0.805707932767192	0.0757646617945079	-10.6343500212865	0	xrn4_dne1 - xrn4	0	Seedling	0.758026143518711	0.586173293536581	0.17185284998213	significant	decrease	Intact
AT2G40760.1	0.763820101259943	0.136620214512114	5.59082785799768	2.25989540414417e-08	xrn4_dne1 - xrn4	1.85518448824196e-05	Seedling	0.246589669570775	0.41582215598609	0.169232486415315	significant	increase	Intact
AT2G46410.1	-0.832376686800564	0.22800339584776	-3.65072056802325	0.000261505625988034	xrn4_dne1 - xrn4	0.0472998301005857	Seedling	0.967430555555556	0.935743464052288	0.031687091503268	significant	decrease	Intact
