groupID,featureID,exonBaseMean,dispersion,stat,pvalue,padj,xrn4,xrn4_dne1,log2fold_xrn4_dne1_xrn4,countData.1,countData.2,countData.3,countData.4,countData.5,countData.6
AT2G20670.1,Both_truncated,6.48666692701556,0.0876955387715372,17.564279881461,2.77757035895365e-05,0.0467557677090531,5.43035140451663,1.87751437727571,-3.22946734818777,11,0,16,2,10,1
AT3G18210.1,5'_truncated,56.8991142112043,0.0174889176461829,17.6334391400356,2.67837333295286e-05,0.0467557677090531,11.4155210467358,9.78479022502905,-0.648028194564824,65,67,45,49,75,46
AT3G18210.1,Intact,95.9152504989486,0.0230629832359665,21.0650136250411,4.43960534465157e-06,0.0298933426539872,11.1880923360046,13.2539572778332,0.777802549840822,74,158,40,110,60,142
AT3G19170.1,Intact,6.84639120150258,0.0444046714482085,18.7864574396324,1.46201584049242e-05,0.0421895999684954,2.37177724563316,5.89804955417139,2.81329833991738,4,9,1,12,1,15
AT4G17390.1,Both_truncated,308.777758184238,0.0304065638403343,27.7572108857662,1.37534608345152e-07,0.00138909954428603,18.7533665815265,15.3270945994928,-1.19120074924848,563,166,382,140,334,316
AT4G17390.1,Intact,1257.0995561742,0.0151573097395201,30.4561013846865,3.41507538827988e-08,0.000689845228432535,22.453876834484,23.8176288442459,0.460001772429427,1231,1670,815,1052,1014,1908
AT4G30920.1,Intact,13.3425639218149,0.0397407311151021,17.8249277764059,2.42189446051404e-05,0.0467557677090531,3.70749152378918,6.83549399643477,1.97235991493295,6,28,0,17,5,25
AT4G31450.1,Intact,88.6778582156393,0.0139460097486807,18.2986847068155,1.88837504408777e-05,0.0427975350746334,11.4887524131688,12.8755882793745,0.52234162868525,78,104,72,113,66,109
AT4G38160.3,Both_truncated,75.0906837325212,0.0167629239074446,19.8041347686417,8.57968783095128e-06,0.0421895999684954,12.5471699165058,10.5912439175147,-0.750824845771366,88,57,100,53,90,73
AT5G58590.1,3'_truncated,13.6742973466262,0.0240620452161142,19.0015484386335,1.30612417815716e-05,0.0421895999684954,6.8898774233519,4.57276755913227,-1.34909573041768,19,6,20,7,26,6
AT5G61410.1,5'_truncated,307.17788826596,0.0373436047682839,18.2801671064202,1.90682086966189e-05,0.0427975350746334,18.2143315198109,16.2619298710262,-0.677111617296261,272,225,382,223,414,374
AT5G61410.1,Intact,255.973988122802,0.0430854061520653,19.3251338790568,1.10245578726072e-05,0.0421895999684954,14.6963286293608,17.5330323929241,0.995231514488085,149,439,160,229,146,438
